Park Name,Lat,Lon
Acadia National Park,44.338974,-68.27343
Arches National Park,38.733082,-109.592514
Badlands National Park,43.8554,-102.3397
Big Bend National Park,29.2498,-103.2502
Biscayne National Park,25.5003,-80.1828
Black Canyon of the Gunnison National Park,38.5754,-107.7416
Bryce Canyon National Park,37.593048,-112.187332
Canyonlands National Park,38.2136,-109.9025
Capitol Reef National Park,38.0896,-111.14991
Carlsbad Caverns National Park,32.137,-104.5438
Channel Islands National Park,33.998028,-119.772949
Congaree National Park,33.7919,-80.749
Crater Lake National Park,42.944611,-122.109245
Cuyahoga Valley National Park,41.2808,-81.5678
Death Valley National Park,36.5054,-117.0794
Denali & PRES National Park,63.129887,-151.197418
Dry Tortugas National Park,24.6285,-82.8732
Everglades National Park,25.286615,-80.898651
Gates of the Arctic & PRES National Park,67.915199,-153.46373
Gateway Arch National Park,38.6249,-90.1859
Glacier Bay & PRES National Park,58.665806,-136.900208
Glacier National Park,48.7596,-113.787
Grand Canyon National Park,36.266033,-112.363808
Grand Teton National Park,43.790802,-110.684944
Great Basin National Park,38.9399,-114.255
Great Sand Dunes & PRES National Park,37.7658,-105.6236
Great Smoky Mountains National Park,35.611763,-83.489548
Guadalupe Mountains National Park,31.9233,-104.8663
Haleakala National Park,20.701283,-156.173325
Hawaii Volcanoes National Park,19.4964,-155.4662
Hot Springs National Park,34.52153,-93.042267
Indiana Dunes National Park,41.6533,-87.0524
Isle Royale National Park,47.9959,-88.9093
Joshua Tree National Park,33.881866,-115.90065
Katmai & PRES National Park,58.5862,-154.9698
Kenai Fjords National Park,60.043777,-149.81636
Kings Canyon National Park,36.887856,-118.555145
Kobuk Valley National Park,67.3575,-159.2137
Lake Clark & PRES National Park,60.412697,-154.323502
Lassen Volcanic National Park,40.4977,-121.4207
Mammoth Cave National Park,37.18364,-86.159943
Mesa Verde National Park,37.230873,-108.461838
Mount Rainier National Park,46.879967,-121.726906
American Samoa National Park,14.2579,-170.686
New River Gorge & PRES National Park,37.8707,-81.0531
North Cascades National Park,48.7718,-121.2985
Olympic National Park,47.8021,-123.6044
Petrified Forest National Park,34.909988,-109.806793
Pinnacles National Park,36.491508,-121.197243
Redwood National Park,41.213181,-124.004631
Rocky Mountain National Park,40.343182,-105.688103
Saguaro National Park,32.1831,-110.6127
Sequoia National Park,36.4864,-118.5658
Shenandoah National Park,38.700516,-78.292694
Theodore Roosevelt National Park,46.979,-103.5387
Virgin Islands National Park,18.3435,-64.7501
Voyageurs National Park,48.4711,-92.8458
White Sands National Park,32.77972,-106.171669
Wind Cave National Park,43.5724,-103.4416
Wrangell-St. Elias & PRES National Park,60.9234,-142.7339
Yellowstone National Park,44.427895,-110.588379
Yosemite National Park,37.865101,-119.53833
<<<<<<< Updated upstream
Zion National Park,37.297817,-113.02877
=======
Zion National Park,37.297817,-113.02877
>>>>>>> Stashed changes
