Park Name,Lat,Lon,
Acadia National Park,44.338974,-68.273430,
Arches National Park,38.733082,-109.592514,
Badlands National Park,43.855400,-102.339700,
Big Bend National Park,29.249800,-103.250200,
Biscayne National Park,25.500300,-80.182800,
Black Canyon of the Gunnison National Park,38.575400,-107.741600,
Bryce Canyon National Park,37.593048,-112.187332,
Canyonlands National Park,38.213600,-109.902500,
Capitol Reef National Park,38.089600,-111.149910,
Carlsbad Caverns National Park,32.137000,-104.543800,
Channel Islands National Park,33.998028,-119.772949,
Congaree National Park,33.791900,-80.749000,
Crater Lake National Park,42.944611,-122.109245,
Cuyahoga Valley National Park,41.280800,-81.567800,
Death Valley National Park,36.505400,-117.079400,
Denali & PRES National Park,63.129887,-151.197418,
Dry Tortugas National Park,24.628500,-82.873200,
Everglades National Park,25.286615,-80.898651,
Gates of the Arctic & PRES National Park,67.915199,-153.463730,
Gateway Arch National Park,38.624900,-90.185900,
Glacier Bay & PRES National Park,58.665806,-136.900208,
Glacier National Park,48.759600,-113.787000,
Grand Canyon National Park,36.266033,-112.363808,
Grand Teton National Park,43.790802,-110.684944,
Great Basin National Park,38.939900,-114.255000,
Great Sand Dunes & PRES National Park,37.765800,-105.623600,
Great Smoky Mountains National Park,35.611763,-83.489548,
Guadalupe Mountains National Park,31.923300,-104.866300,
Haleakala National Park,20.701283,-156.173325,
Hawaii Volcanoes National Park,19.496400,-155.466200,
Hot Springs National Park,34.521530,-93.042267,
Indiana Dunes National Park,41.653300,-87.052400,
Isle Royale National Park,47.995900,-88.909300,
Joshua Tree National Park,33.881866,-115.900650,
Katmai & PRES National Park,58.586200,-154.969800,
Kenai Fjords National Park,60.043777,-149.816360,
Kings Canyon National Park,36.887856,-118.555145,
Kobuk Valley National Park,67.357500,-159.213700,
Lake Clark & PRES National Park,60.412697,-154.323502,
Lassen Volcanic National Park,40.497700,-121.420700,
Mammoth Cave National Park,37.183640,-86.159943,
Mesa Verde National Park,37.230873,-108.461838,
Mount Rainier National Park,46.879967,-121.726906,
American Samoa National Park,14.257900,-170.686000,
New River Gorge & PRES National Park,37.870700,-81.053100,
North Cascades National Park,48.771800,-121.298500,
Olympic National Park,47.802100,-123.604400,
Petrified Forest National Park,34.909988,-109.806793,
Pinnacles National Park,36.491508,-121.197243,
Redwood National Park,41.213181,-124.004631,
Rocky Mountain National Park,40.343182,-105.688103,
Saguaro National Park,32.183100,-110.612700,
Sequoia National Park,36.486400,-118.565800,
Shenandoah National Park,38.700516,-78.292694,
Theodore Roosevelt National Park,46.979000,-103.538700,
Virgin Islands National Park,18.343500,-64.750100,
Voyageurs National Park,48.471100,-92.845800,
White Sands National Park,32.779720,-106.171669,
Wind Cave National Park,43.572400,-103.441600,
Wrangell-St. Elias & PRES National Park,60.923400,-142.733900,
Yellowstone National Park,44.427895,-110.588379,
Yosemite National Park,37.865101,-119.538330,
Zion National Park,37.297817,-113.028770,
